method,k,category,metric,mean,seed_std,ci_low,ci_high,num_categories,num_seeds,ci_resampling_unit,aggregation,uncertainty_scope
anomaly_consistent_sam2,2,macro,mean_anomaly_mask_recall,0.4224978367554252,0.030366598596752465,0.39777259018025707,0.44324591824943493,4,5,support_seed,category_macro,support_seed_interval
anomaly_consistent_sam2,2,pcb1,mean_anomaly_mask_recall,0.6594452018247198,0.09361488487163239,0.5768847644538381,0.7108959819695679,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,2,pcb2,mean_anomaly_mask_recall,0.463640056599532,0.01990801593548574,0.44808993545526804,0.479190177743796,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,2,pcb3,mean_anomaly_mask_recall,0.339425146915455,0.0380410344829566,0.310451370897494,0.3683989229334161,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,2,pcb4,mean_anomaly_mask_recall,0.2274809416819938,0.01896836499885834,0.21394340215387153,0.24156260430598903,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,macro,mean_anomaly_mask_recall,0.44260389206121264,0.025499482609727293,0.4236689945038622,0.4624407744597946,4,5,support_seed,category_macro,support_seed_interval
anomaly_consistent_sam2,4,pcb1,mean_anomaly_mask_recall,0.652165911657957,0.08417200435482466,0.5896604365839512,0.7196373486849068,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb2,mean_anomaly_mask_recall,0.5032811616205202,0.02077524011216375,0.4860427294709698,0.5182826900849804,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb3,mean_anomaly_mask_recall,0.3759861735087294,0.017552758384345883,0.36260185976196085,0.38937048725549805,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,4,pcb4,mean_anomaly_mask_recall,0.2389823214576438,0.019738481406778,0.22412875064338147,0.2550980137026361,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,macro,mean_anomaly_mask_recall,0.4546480580625552,0.026937122912217355,0.43277364671085394,0.4750921735712634,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,1,pcb1,mean_anomaly_mask_recall,0.7619375098266521,0.02239121227553774,0.743179553335132,0.777763706708117,1,5,support_seed,within_category,support_seed_interval
